平成２９年,患者調査,平成２９年１０月,千人
下巻第２表　推計外来患者数（患者住所地），都道府県・外来（初診－再来）×傷病分類×病院－一般診療所別
注：（１）　病院－一般診療所の総数には、歯科診療所を含む。
注：（２）　全国には、住所不詳を含む。
,全国,,,北海道,,,青森,,,岩手,,,宮城,,,秋田,,,山形,,,福島,,,茨城,,,栃木,,,群馬,,,埼玉,,,千葉,,,東京,,,神奈川,,,新潟,,,富山,,,石川,,,福井,,,山梨,,,長野,,,岐阜,,,静岡,,,愛知,,,三重,,,滋賀,,,京都,,,大阪,,,兵庫,,,奈良,,,和歌山,,,鳥取,,,島根,,,岡山,,,広島,,,山口,,,徳島,,,香川,,,愛媛,,,高知,,,福岡,,,佐賀,,,長崎,,,熊本,,,大分,,,宮崎,,,鹿児島,,,沖縄,,
,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来,外来,初診,再来
総数
総数,7191.0,1303.0,5888.0,273.1,48.0,225.1,79.7,12.8,66.9,70.2,10.8,59.4,136.7,25.8,110.9,58.0,9.0,49.0,65.3,11.3,53.9,105.6,17.9,87.7,149.3,31.1,118.1,112.2,18.6,93.7,105.4,20.1,85.4,383.3,78.0,305.3,320.6,64.0,256.6,755.6,166.2,589.4,488.3,95.4,392.9,119.1,21.9,97.2,57.0,9.7,47.2,59.0,12.2,46.8,42.4,8.2,34.2,45.5,8.5,37.0,104.5,18.3,86.2,121.3,18.5,102.8,187.1,32.0,155.1,447.9,76.8,371.1,109.0,21.5,87.4,74.4,14.1,60.2,130.3,19.8,110.5,499.0,76.4,422.7,325.7,56.8,268.9,68.8,12.8,56.0,60.9,10.3,50.6,31.9,6.2,25.7,42.9,8.3,34.7,110.0,20.5,89.4,156.0,24.7,131.3,90.9,12.9,78.0,45.2,7.0,38.2,67.2,12.4,54.8,77.6,11.8,65.8,41.3,5.7,35.6,332.2,51.7,280.5,58.6,8.6,50.1,92.2,15.7,76.5,116.0,20.5,95.5,64.0,10.2,53.8,65.5,10.9,54.5,99.8,14.4,85.5,66.2,14.8,51.4
Ⅰ　感染症及び寄生虫症,169.8,49.5,120.3,7.1,2.1,5.0,1.5,0.4,1.1,1.5,0.4,1.1,2.2,1.0,1.3,1.2,0.3,0.9,1.3,0.4,0.9,2.1,0.6,1.5,3.2,1.1,2.1,2.4,0.7,1.7,2.5,0.6,1.9,8.5,2.7,5.8,7.4,2.5,4.9,19.6,5.9,13.7,9.8,2.7,7.1,3.0,0.8,2.2,1.3,0.3,1.0,1.4,0.4,1.0,0.9,0.2,0.6,1.2,0.3,0.9,2.9,0.8,2.1,2.6,0.8,1.8,4.6,1.2,3.4,14.8,3.2,11.6,2.3,0.8,1.6,1.7,0.5,1.2,2.4,0.6,1.7,12.0,3.7,8.3,6.8,2.3,4.5,1.8,0.5,1.3,1.1,0.3,0.8,0.8,0.3,0.5,0.8,0.3,0.5,2.3,0.8,1.5,4.0,0.9,3.1,2.1,0.3,1.7,1.1,0.3,0.8,1.3,0.5,0.8,1.4,0.5,0.9,0.9,0.3,0.6,8.0,2.4,5.5,1.6,0.4,1.2,2.4,0.6,1.8,2.7,0.8,1.9,1.1,0.4,0.7,1.4,0.4,1.0,3.3,0.5,2.8,1.7,0.8,0.9
　腸管感染症（再掲）,29.9,18.7,11.2,1.1,0.6,0.5,0.2,0.1,0.0,0.2,0.1,0.1,0.6,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0.1,0.6,0.4,0.2,0.6,0.4,0.2,0.5,0.3,0.2,0.4,0.2,0.2,1.5,1.1,0.3,1.8,1.3,0.5,3.0,1.9,1.0,1.7,0.8,0.9,0.4,0.3,0.2,0.2,0.1,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.6,0.4,0.2,0.4,0.3,0.1,0.9,0.6,0.3,1.9,1.0,0.9,0.4,0.2,0.2,0.3,0.3,0.1,0.5,0.3,0.2,1.8,1.2,0.6,1.4,0.9,0.5,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.6,0.3,0.3,0.6,0.3,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.1,0.4,0.3,0.1,0.3,0.1,0.1,1.4,1.0,0.4,0.2,0.1,0.1,0.3,0.2,0.2,0.7,0.4,0.3,0.3,0.2,0.1,0.4,0.2,0.2,0.3,0.2,0.1,0.4,0.3,0.1
　結核（再掲）,1.5,0.2,1.3,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,-,-,-,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.1,0.0,0.1,0.1,-,0.1,0.1,0.0,0.1,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,0.0,0.1,0.0,0.1,0.0,-,0.0,0.1,-,0.1,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,-
　皮膚及び粘膜の病変を伴うウイルス性疾患（再掲）,60.8,14.3,46.5,3.1,0.6,2.5,0.7,0.1,0.5,0.6,0.2,0.4,0.7,0.2,0.5,0.3,0.1,0.3,0.5,0.1,0.3,0.8,0.1,0.6,1.2,0.3,0.9,0.9,0.2,0.7,0.8,0.1,0.7,2.8,0.5,2.2,2.7,0.6,2.1,8.1,1.9,6.3,3.1,0.8,2.3,1.4,0.4,1.0,0.5,0.1,0.4,0.4,0.1,0.2,0.2,0.1,0.1,0.4,0.1,0.3,1.1,0.2,0.9,0.8,0.2,0.5,2.0,0.4,1.6,4.7,1.0,3.7,1.0,0.3,0.7,0.6,0.1,0.5,0.6,0.1,0.5,3.8,1.2,2.6,1.9,0.8,1.1,0.7,0.2,0.6,0.3,0.1,0.2,0.2,0.1,0.1,0.2,0.0,0.1,0.6,0.2,0.4,1.5,0.2,1.2,0.8,0.1,0.7,0.3,0.1,0.2,0.4,0.1,0.3,0.3,0.1,0.2,0.2,0.1,0.2,2.8,0.6,2.2,0.7,0.2,0.5,1.1,0.2,0.9,0.8,0.2,0.6,0.3,0.1,0.2,0.4,0.1,0.3,2.0,0.2,1.8,0.7,0.2,0.5
　真菌症（再掲）,39.0,8.5,30.5,1.4,0.5,1.0,0.4,0.1,0.3,0.4,0.1,0.3,0.4,0.1,0.2,0.2,0.0,0.2,0.3,0.0,0.3,0.4,0.1,0.3,1.0,0.3,0.6,0.6,0.1,0.4,0.6,0.1,0.5,2.3,0.5,1.8,1.3,0.3,1.0,3.6,1.0,2.6,2.0,0.3,1.8,0.6,0.1,0.4,0.4,0.1,0.3,0.3,0.1,0.3,0.3,0.0,0.2,0.3,0.1,0.3,0.7,0.1,0.6,0.5,0.2,0.4,0.9,0.2,0.7,6.2,0.8,5.3,0.5,0.1,0.4,0.4,0.1,0.3,0.6,0.2,0.4,2.5,0.5,2.0,1.4,0.2,1.1,0.4,0.1,0.3,0.3,0.1,0.2,0.1,0.0,0.1,0.2,0.1,0.2,0.6,0.2,0.4,0.6,0.2,0.5,0.7,0.1,0.5,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.0,0.2,0.3,0.0,0.2,1.6,0.5,1.1,0.4,0.1,0.3,0.5,0.2,0.3,0.7,0.1,0.6,0.2,0.1,0.2,0.3,0.1,0.2,0.4,0.0,0.4,0.3,0.2,0.2
Ⅱ　新生物＜腫瘍＞,249.5,35.2,214.3,10.0,1.5,8.5,3.0,0.4,2.6,3.0,0.4,2.5,3.7,0.5,3.2,2.3,0.3,2.0,2.9,0.4,2.5,4.6,0.8,3.7,4.4,0.6,3.9,3.7,0.5,3.2,4.2,0.6,3.6,11.7,1.6,10.1,10.0,1.6,8.4,26.1,3.3,22.8,18.2,2.1,16.1,4.3,0.6,3.7,2.4,0.3,2.1,2.1,0.3,1.8,1.5,0.2,1.3,1.9,0.3,1.6,4.6,0.7,3.9,4.6,0.7,3.9,7.6,1.0,6.6,14.6,2.3,12.3,3.3,0.6,2.8,2.9,0.4,2.5,4.9,0.5,4.3,17.9,2.0,15.9,14.2,2.0,12.2,2.6,0.3,2.3,2.4,0.3,2.1,1.2,0.2,1.0,1.6,0.3,1.3,3.3,0.5,2.8,6.2,1.1,5.1,2.6,0.4,2.3,1.5,0.3,1.2,2.3,0.4,1.9,2.4,0.4,2.0,1.1,0.2,1.0,10.4,1.7,8.7,2.0,0.3,1.8,2.9,0.4,2.5,3.1,0.5,2.7,1.5,0.2,1.3,1.8,0.3,1.6,2.6,0.5,2.1,1.9,0.3,1.6
　（悪性新生物＜腫瘍＞）（再掲）,183.6,17.8,165.8,7.3,0.8,6.5,2.2,0.2,2.0,2.3,0.3,2.0,2.9,0.4,2.5,1.7,0.1,1.6,2.1,0.2,1.9,3.2,0.5,2.7,3.5,0.4,3.1,2.8,0.2,2.6,3.4,0.3,3.1,9.0,1.0,7.9,7.6,0.8,6.8,18.2,1.4,16.8,12.7,1.0,11.7,3.0,0.3,2.7,1.8,0.1,1.6,1.6,0.2,1.4,1.1,0.1,1.0,1.3,0.1,1.1,3.6,0.4,3.1,3.4,0.3,3.2,5.4,0.5,4.9,10.3,1.2,9.2,2.4,0.2,2.2,2.1,0.2,1.9,3.6,0.3,3.3,14.2,1.2,13.0,10.4,0.8,9.6,1.9,0.2,1.8,1.8,0.2,1.6,1.0,0.1,0.9,1.3,0.1,1.1,2.5,0.3,2.2,4.4,0.5,3.9,2.0,0.2,1.8,1.1,0.2,0.9,1.9,0.3,1.6,1.9,0.2,1.6,0.9,0.1,0.8,7.4,0.7,6.8,1.5,0.1,1.4,2.2,0.2,2.1,2.4,0.2,2.2,1.1,0.1,1.0,1.4,0.2,1.2,1.9,0.2,1.6,1.4,0.2,1.3
